timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674383958709,429,https://angobackend.nitishgarg.org/api/file-upload/file,500,Internal Server Error,Performance Test & Load Testing 1-24,text,false,,1079,1647,7,7,https://angobackend.nitishgarg.org/api/file-upload/file,429,0,0
1674383958529,627,https://angobackend.nitishgarg.org/api/63cc40c647a55ce7481b5c95,200,OK,Performance Test & Load Testing 1-28,text,true,,598,1413,7,7,https://angobackend.nitishgarg.org/api/63cc40c647a55ce7481b5c95,627,0,0
1674383958899,391,https://angobackend.nitishgarg.org/api/all-category,304,Not Modified,Performance Test & Load Testing 1-30,,true,,220,414,7,7,https://angobackend.nitishgarg.org/api/all-category,0,0,0
1674383958206,1228,https://angobackend.nitishgarg.org/api/admin/ad/63ca28ff2b3393fc9636f0c7,200,OK,Performance Test & Load Testing 1-27,text,true,,1701,1390,7,7,https://angobackend.nitishgarg.org/api/admin/ad/63ca28ff2b3393fc9636f0c7,1228,0,0
1674383959290,390,https://angobackend.nitishgarg.org/api/all-category,304,Not Modified,Performance Test & Load Testing 1-30,,true,,220,414,7,7,https://angobackend.nitishgarg.org/api/all-category,0,0,0
1674383959157,569,https://angobackend.nitishgarg.org/api/all-category,304,Not Modified,Performance Test & Load Testing 1-28,,true,,220,414,7,7,https://angobackend.nitishgarg.org/api/all-category,0,0,0
1674383958667,1190,https://angobackend.nitishgarg.org/api/admin/ad/63ca697a2a8fcb1dc52c8743,200,OK,Performance Test & Load Testing 1-26,text,true,,1802,1389,7,7,https://angobackend.nitishgarg.org/api/admin/ad/63ca697a2a8fcb1dc52c8743,1190,0,0
1674383959046,827,https://angobackend.nitishgarg.org/api/admin,304,Not Modified,Performance Test & Load Testing 1-25,,true,,220,1361,7,7,https://angobackend.nitishgarg.org/api/admin,0,0,0
1674383951289,8580,Ad Listing,200,"Number of samples in transaction : 9, number of failing samples : 0",Performance Test & Load Testing 1-25,,true,,19989,12313,7,7,null,4389,5,0
1674383959138,817,https://angobackend.nitishgarg.org/api/banner/63cc40d947a55ce7481b5d9e,200,OK,Performance Test & Load Testing 1-24,text,true,,737,1387,7,7,https://angobackend.nitishgarg.org/api/banner/63cc40d947a55ce7481b5d9e,817,0,0
